obs	species	water	fbiomass	dbiomass
1	1	1	105.13	17.65
2	1	1	138.95	28.85
3	1	1	110.05	18.85
4	1	1	102.25	16.91
5	1	2	167.9	44.35
6	1	2	157.15	63.65
7	1	2	152.25	36.95
8	1	2	143.25	40.50
9	1	3	192.95	69.25
10	1	3	165.55	56.55
11	1	3	147.05	56.45
12	1	3	169.75	61.76
13	1	4	266.88	81.85
14	1	4	210.15	72.25
15	1	4	162.85	61.35
16	1	4	220.65	85.67
17	1	5	289.82	98.35
18	1	5	207.15	70.55
19	1	5	235.38	102.55
20	1	5	303.25	103.95
21	1	6	294.81	112.75
22	1	6	332.35	132.35
23	1	6	320.39	106.95
24	1	6	269.95	114.41
25	1	7	309	112.45
26	1	7	289.75	86.15
27	1	7	331.15	121.85
28	1	7	313.62	122.99
29	2	1	158.45	40.45
30	2	1	125.25	18.35
31	2	1	161.74	25.25
32	2	1	100.15	13.93
33	2	2	140.75	51.85
34	2	2	218.15	55.75
35	2	2	115.55	39.35
36	2	2	192.55	52.51
37	2	3	258.55	70.25
38	2	3	263.95	87.85
39	2	3	234.25	59.05
40	2	3	262.75	61.26
41	2	4	328.35	104.05
42	2	4	271.85	100.95
43	2	4	279	86.25
44	2	4	184.78	49.14
45	2	5	399.11	101.55
46	2	5	385.55	110.15
47	2	5	322.9	105.75
48	2	5	282.95	69.80
49	2	6	370.15	100.65
50	2	6	422.95	108.25
51	2	6	380.49	108.65
52	2	6	199.46	55.17
53	2	7	555.31	82.65
54	2	7	365.85	90.65
55	2	7	311.05	76.05
56	2	7	357.25	99.15
57	3	1	50.15	24.65
58	3	1	60.55	27.15
59	3	1	71.15	24.35
60	3	1	40.55	18.83
61	3	2	60.05	23.45
62	3	2	79.15	35.55
63	3	2	120.35	46.25
64	3	2	55.88	22.21
65	3	3	101.65	34.75
66	3	3	130.45	52.15
67	3	3	94.15	25.75
68	3	3	84.95	32.30
69	3	4	214.49	77.05
70	3	4	129.25	56.75
71	3	4	135.95	59.55
72	3	4	187.45	65.85
73	3	5	189.75	68.35
74	3	5	166.35	66.35
75	3	5	154.45	62.15
76	3	5	147.15	62.11
77	3	6	239.49	75.05
78	3	6	175.45	67.65
79	3	6	168.05	63.25
80	3	6	212.65	91.19
81	3	7	209.1	65.45
82	3	7	176.35	67.55
83	3	7	196.95	76.55
84	3	7	170.15	59.48
85	4	1	42.75	10.55
86	4	1	37.45	19.35
87	4	1	42.25	17.95
88	4	1	18.06	9.27
89	4	2	49.45	18.55
90	4	2	64.65	24.95
91	4	2	56.75	23.55
92	4	2	62.45	26.11
93	4	3	87.04	33.85
94	4	3	110.23	43.95
95	4	3	101.55	38.05
96	4	3	79.35	32.35
97	4	4	74.26	38.65
98	4	4	78.95	30.95
99	4	4	125.95	41.65
100	4	4	107.8	46.31
101	4	5	147.35	51.95
102	4	5	127.45	40.35
103	4	5	159.85	52.65
104	4	5	179.94	49.20
105	4	6	129.75	43.15
106	4	6	207.79	68.35
107	4	6	185.35	65.65
108	4	6	178.55	67.63
109	4	7	92.37	28.95
110	4	7	104.55	34.95
111	4	7	232.92	78.85
112	4	7	202.35	71.65
