time	sec
Early	68 
Evening	299 
Late	216
Early	138 
Evening	367 
Late	175
Early	75 
Evening	331 
Late	274
Early	186 
Evening	257 
Late	171
Early	68 
Evening	260 
Late	187
Early	217 
Evening	269 
Late	213
Early	93 
Evening	252 
Late	221
Early	90 
Evening	200 
Late	139
Early	71 
Evening	296 
Late	226
Early	154 
Evening	204 
Late	128
Early	166 
Evening	190 
Late	236
Early	130 
Evening	240 
Late	128
Early	72 
Evening	350 
Late	217
Early	81 
Evening	256 
Late	196
Early	76 
Evening	282 
Late	201
Early	129 
Evening	320 
Late	161
