Country	Debt2005	Debt2006	Debt2007	Debt2008	Debt2009	Debt2010
Australia	6.312	5.760	5.181	4.922	8.195	10.966
Austria	62.116	60.434	57.829	59.319	64.916	65.754
Belgium	91.774	87.568	85.295	90.094	94.893	96.789
Canada	30.235	27.934	25.183	28.642	35.716	36.073
Chile	7.282	5.264	4.097	5.173	6.228	9.185
Czech Republic	23.164	24.904	25.240	27.102	32.496	36.625
Denmark	39.292	32.715	27.765	32.318	37.891	39.590
Estonia	2.091	1.836	1.319	1.761	3.550	3.227
Finland	38.170	35.561	31.201	29.452	37.549	41.683
France	53.275	52.131	52.118	53.406	61.231	67.418
Germany	40.832	41.232	39.550	39.550	44.205	44.403
Greece	110.572	107.675	105.674	110.617	127.022	147.839
Hungary	58.103	61.971	61.551	67.668	72.790	73.898
Iceland	19.378	24.807	23.237	44.175	87.473	81.257
Ireland	23.524	20.253	19.834	28.001	47.074	60.703
Israel	92.102	82.659	75.948	75.307	77.693	74.714
Italy	97.656	97.454	95.627	98.093	106.778	109.015
Korea	27.595	30.065	29.651	29.027	32.558	31.935
Luxembourg	0.821	1.458	1.419	8.153	8.489	12.578
Mexico	20.295	20.583	20.861	24.369	28.086	27.460
Netherlands	42.952	39.169	37.552	50.068	49.719	51.845
New Zealand	22.069	21.580	20.343	20.721	27.530	30.450
Norway	17.173	12.473	11.681	13.905	26.363	26.077
Poland	44.764	45.143	42.620	44.686	47.015	49.679
Portugal	66.194	67.732	66.622	68.880	78.730	87.962
Slovak Republic	33.103	29.164	28.108	26.342	33.749	39.078
Slovenia	26.900	25.782	23.207	21.188	33.628	36.023
Spain	36.360	32.965	30.019	33.695	46.026	51.693
Sweden	46.232	42.242	36.406	35.560	38.098	33.782
Switzerland	28.102	25.195	23.216	22.376	20.723	20.240
Turkey	51.087	45.498	39.551	40.011	46.350	42.851
United Kingdom	43.523	43.185	42.744	61.059	75.270	85.535
United States	36.149	36.039	35.703	40.183	53.573	61.274
