score,group
19,Control
17,Control
10,Control
28,Control
26,Control
20,Control
37,Control
37,Control
33,Control
48,Control
46,Control
43,Control
42,Control
42,Control
42,Control
41,Control
55,Control
55,Control
55,Control
54,Control
60,Control
62,Control
85,Intervention
24,Intervention
33,Intervention
43,Intervention
43,Intervention
43,Intervention
44,Intervention
46,Intervention
49,Intervention
52,Intervention
53,Intervention
54,Intervention
56,Intervention
57,Intervention
57,Intervention
58,Intervention
59,Intervention
60,Intervention
62,Intervention
67,Intervention
71,Intervention
